Dec-06-2023 14:56:27 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:56:27 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:56:27 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:56:27 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:56:28 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:56:28 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:56:28 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
Dec-06-2023 14:56:28 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:56:51 [info] 		Get users details{"UserAccountId":"311","KycStatus":true,"WalletAddress":"0xeE74735530a8029D1BA3008799D1d9c705219c47","Group":"1","Data":{}}
Dec-06-2023 14:56:51 [info] 		Get users details{"UserAccountId":"312","KycStatus":true,"WalletAddress":"0x0F751D6a2bF20D3c38CAB046248FFD014A6Bf22a","Group":"0","Data":{}}
Dec-06-2023 14:56:52 [info] 		Get users details{"UserAccountId":"310","KycStatus":true,"WalletAddress":"0x8fae48171C94A57FBE650A01B0597bb27a91b89E","Group":"0","Data":{}}
Dec-06-2023 14:56:52 [info] 		Get users details{"UserAccountId":"313","KycStatus":true,"WalletAddress":"0x11eC979D32E14A4c45C370B640F08a9eBb85308e","Group":"0","Data":{}}
